year,province,district,total_enrolment,dropout_rate_pct,dropout_count,male_dropout_rate_pct,female_dropout_rate_pct,repetition_rate_pct,retention_rate_g1_g9_pct,retention_rate_g1_g11_pct,poverty_headcount_pct,estate_pop_pct,median_hh_income_lkr,pct_1ab_schools,student_teacher_ratio,pct_schools_with_computer_labs,pct_schools_with_sanitation,pct_tamil_medium_schools,roads_access_index,gender_dropout_gap,pre_crisis_baseline_rate,crisis_surge_ratio,infrastructure_deficit_index
2014,Eastern,Ampara,155000,2.75,4262,3.08,2.42,1.31,86.8,79.4,7.2,0.1,48500,8.2,17.6,54.6,84.2,62.8,72.0,0.66,2.39,1.15,40.6
2015,Eastern,Ampara,155774,2.64,4112,2.96,2.32,1.2,87.3,80.2,7.2,0.1,48500,8.2,17.6,54.6,84.2,62.8,72.0,0.64,2.39,1.1,40.6
2016,Eastern,Ampara,156550,2.47,3866,2.77,2.17,1.15,88.1,81.5,7.2,0.1,48500,8.2,17.6,54.6,84.2,62.8,72.0,0.6,2.39,1.03,40.6
2017,Eastern,Ampara,157324,2.52,3964,2.82,2.22,1.1,87.9,81.1,7.2,0.1,48500,8.2,17.6,54.6,84.2,62.8,72.0,0.6,2.39,1.05,40.6
2018,Eastern,Ampara,158100,2.4,3794,2.69,2.11,1.1,88.5,82.0,7.2,0.1,48500,8.2,17.6,54.6,84.2,62.8,72.0,0.58,2.39,1.0,40.6
2019,Eastern,Ampara,158875,2.39,3797,2.68,2.1,1.09,88.5,82.1,7.2,0.1,48500,8.2,17.6,54.6,84.2,62.8,72.0,0.58,2.39,1.0,40.6
2020,Eastern,Ampara,159650,2.25,3592,2.52,1.98,0.99,89.2,83.1,7.2,0.1,48500,8.2,17.6,54.6,84.2,62.8,72.0,0.54,2.39,0.94,40.6
2021,Eastern,Ampara,160425,2.08,3336,2.33,1.83,0.94,90.0,84.4,7.2,0.1,48500,8.2,17.6,54.6,84.2,62.8,72.0,0.5,2.39,0.87,40.6
2022,Eastern,Ampara,161200,3.86,6222,4.32,3.4,1.7,81.5,71.0,7.2,0.1,48500,8.2,17.6,54.6,84.2,62.8,72.0,0.92,2.39,1.62,40.6
2023,Eastern,Ampara,161975,3.65,5912,4.09,3.21,1.62,82.5,72.6,7.2,0.1,48500,8.2,17.6,54.6,84.2,62.8,72.0,0.88,2.39,1.53,40.6
2024,Eastern,Ampara,162750,2.95,4801,3.3,2.6,1.26,85.8,77.9,7.2,0.1,48500,8.2,17.6,54.6,84.2,62.8,72.0,0.7,2.39,1.23,40.6
2014,North Central,Anuradhapura,195000,2.19,4270,2.45,1.93,1.02,89.5,83.6,5.9,0.0,52400,8.0,17.4,53.2,83.5,8.2,71.0,0.52,1.95,1.12,41.67
2015,North Central,Anuradhapura,195974,2.12,4154,2.37,1.87,0.98,89.8,84.1,5.9,0.0,52400,8.0,17.4,53.2,83.5,8.2,71.0,0.5,1.95,1.09,41.67
2016,North Central,Anuradhapura,196950,2.1,4135,2.35,1.85,0.89,89.9,84.2,5.9,0.0,52400,8.0,17.4,53.2,83.5,8.2,71.0,0.5,1.95,1.08,41.67
2017,North Central,Anuradhapura,197924,1.98,3918,2.22,1.74,0.86,90.5,85.2,5.9,0.0,52400,8.0,17.4,53.2,83.5,8.2,71.0,0.48,1.95,1.02,41.67
2018,North Central,Anuradhapura,198900,1.94,3858,2.17,1.71,0.92,90.7,85.5,5.9,0.0,52400,8.0,17.4,53.2,83.5,8.2,71.0,0.46,1.95,0.99,41.67
2019,North Central,Anuradhapura,199874,1.95,3897,2.18,1.72,0.85,90.6,85.4,5.9,0.0,52400,8.0,17.4,53.2,83.5,8.2,71.0,0.46,1.95,1.0,41.67
2020,North Central,Anuradhapura,200850,1.85,3715,2.07,1.63,0.81,91.1,86.1,5.9,0.0,52400,8.0,17.4,53.2,83.5,8.2,71.0,0.44,1.95,0.95,41.67
2021,North Central,Anuradhapura,201824,1.77,3572,1.98,1.56,0.76,91.5,86.7,5.9,0.0,52400,8.0,17.4,53.2,83.5,8.2,71.0,0.42,1.95,0.91,41.67
2022,North Central,Anuradhapura,202800,3.1,6286,3.47,2.73,1.43,85.1,76.8,5.9,0.0,52400,8.0,17.4,53.2,83.5,8.2,71.0,0.74,1.95,1.59,41.67
2023,North Central,Anuradhapura,203775,3.05,6215,3.42,2.68,1.36,85.4,77.1,5.9,0.0,52400,8.0,17.4,53.2,83.5,8.2,71.0,0.74,1.95,1.56,41.67
2024,North Central,Anuradhapura,204750,2.42,4954,2.71,2.13,1.05,88.4,81.8,5.9,0.0,52400,8.0,17.4,53.2,83.5,8.2,71.0,0.58,1.95,1.24,41.67
2014,Uva,Badulla,175000,3.62,6335,4.05,3.19,1.62,82.6,72.8,6.8,19.2,42800,5.8,16.8,42.5,75.8,36.5,59.0,0.86,3.08,1.18,51.56
