year,province,district,total_enrolment,dropout_rate_pct,dropout_count,male_dropout_rate_pct,female_dropout_rate_pct,repetition_rate_pct,retention_rate_g1_g9_pct,retention_rate_g1_g11_pct
2014,Western,Colombo,375000,0.95,3562,1.06,0.84,0.41,95.4,92.9
2014,Western,Gampaha,345000,1.02,3519,1.14,0.9,0.49,95.1,92.3
2014,Western,Kalutara,215000,1.41,3031,1.58,1.24,0.63,93.2,89.4
2014,Central,Kandy,275000,1.88,5169,2.11,1.65,0.84,91.0,85.9
2014,Central,Matale,105000,2.34,2456,2.62,2.06,1.08,88.8,82.5
2014,Central,Nuwara Eliya,165000,4.33,7144,4.85,3.81,1.95,79.2,67.5
2014,Southern,Galle,225000,1.32,2970,1.48,1.16,0.53,93.7,90.1
2014,Southern,Matara,175000,1.28,2240,1.43,1.13,0.6,93.9,90.4
2014,Southern,Hambantota,135000,1.89,2551,2.12,1.66,0.88,90.9,85.8
2014,Northern,Jaffna,125000,1.48,1850,1.66,1.3,0.64,92.9,88.9
2014,Northern,Kilinochchi,38000,3.91,1485,4.38,3.44,1.72,81.2,70.7
2014,Northern,Mannar,32000,2.94,940,3.29,2.59,1.28,85.9,78.0
2014,Northern,Vavuniya,45000,2.18,981,2.44,1.92,1.0,89.5,83.7
2014,Northern,Mullaitivu,28000,4.09,1145,4.58,3.6,1.88,80.4,69.3
2014,Eastern,Batticaloa,135000,3.96,5345,4.44,3.48,1.79,81.0,70.3
2014,Eastern,Ampara,155000,2.75,4262,3.08,2.42,1.31,86.8,79.4
2014,Eastern,Trincomalee,95000,3.25,3087,3.64,2.86,1.43,84.4,75.6
2014,North Western,Kurunegala,355000,1.77,6283,1.98,1.56,0.74,91.5,86.7
2014,North Western,Puttalam,165000,3.11,5131,3.48,2.74,1.34,85.1,76.7
2014,North Central,Anuradhapura,195000,2.19,4270,2.45,1.93,1.02,89.5,83.6
2014,North Central,Polonnaruwa,95000,2.35,2232,2.63,2.07,1.04,88.7,82.4
2014,Uva,Badulla,175000,3.62,6335,4.05,3.19,1.62,82.6,72.8
2014,Uva,Monaragala,110000,3.86,4245,4.32,3.4,1.75,81.5,71.0
2014,Sabaragamuwa,Ratnapura,235000,2.97,6979,3.33,2.61,1.38,85.7,77.7
2014,Sabaragamuwa,Kegalle,165000,2.06,3399,2.31,1.81,0.87,90.1,84.5
2015,Western,Colombo,376874,0.9,3391,1.01,0.79,0.38,95.7,93.2
2015,Western,Gampaha,346724,0.91,3155,1.02,0.8,0.44,95.6,93.2
2015,Western,Kalutara,216074,1.4,3025,1.57,1.23,0.64,93.3,89.5
2015,Central,Kandy,276374,1.68,4643,1.88,1.48,0.76,91.9,87.4
2015,Central,Matale,105524,2.27,2395,2.54,2.0,1.04,89.1,83.0
